Table,File,Order,Column,Action,Type,Block,Meaning,Missing,StataName
Contracts,core/Contracts.parquet,58,SumFog,keep,DOUBLE,Announcement,Gunning Fog index of that text: 0.4 x (words per sentence + 100 x share of complex words).,"the filing is not an 8-K, or its Item 1.01 text could not be recovered",SumFog
Contracts,core/Contracts.parquet,59,SumUncertain,keep,INTEGER,Announcement,Words of the Loughran-McDonald uncertainty list in that text.,"the filing is not an 8-K, or its Item 1.01 text could not be recovered",SumUncertain
Contracts,core/Contracts.parquet,60,SumNumbers,keep,INTEGER,Announcement,Numeric tokens in that text.,"the filing is not an 8-K, or its Item 1.01 text could not be recovered",SumNumbers
Contracts,core/Contracts.parquet,61,SumDollars,keep,INTEGER,Announcement,"Dollar figures in that text: a currency sign, a number and an optional scale word.","the filing is not an 8-K, or its Item 1.01 text could not be recovered",SumDollars
Contracts,core/Contracts.parquet,62,SumPercents,keep,INTEGER,Announcement,Percentages in that text.,"the filing is not an 8-K, or its Item 1.01 text could not be recovered",SumPercents
Contracts,core/Contracts.parquet,63,SumAttached,keep,INTEGER,Announcement,1 where the filing carried an Exhibit 10: 1 on every row of this table. Summaries holds the announcements without one.,"the filing is not an 8-K, or its Item 1.01 text could not be recovered",SumAttached
Contracts,core/Contracts.parquet,64,SumBoiler,keep,DOUBLE,Announcement,Share of the text's four-word phrases that occur in the filings of at least one in a hundred distinct filers (after Lang and Stice-Lawrence 2015).,"the filing is not an 8-K, or its Item 1.01 text could not be recovered",SumBoiler
Contracts,core/Contracts.parquet,65,SumLagDays,keep,INTEGER,Announcement,"Filing date minus the first agreement date in that text, in calendar days; negative where the filing precedes the date.",the text names no agreement date,SumLagDays
Contracts,core/Contracts.parquet,66,BertClassDetailed,keep,VARCHAR,Classification,"Contract type, twelve categories, from the fine-tuned Legal-BERT classifier (256-token model). Identical to Class.",the attachment holds no text the classifiers could read (741 attachments),BertClassDetailed
Contracts,core/Contracts.parquet,67,BertClassDetailedProb,keep,DOUBLE,Classification,The classifier's probability for that category.,the attachment holds no text the classifiers could read (741 attachments),BertClassDetailedProb
Contracts,core/Contracts.parquet,68,BertClassDetailed2,keep,VARCHAR,Classification,The classifier's second most likely category.,the attachment holds no text the classifiers could read (741 attachments),BertClassDetailed2
Contracts,core/Contracts.parquet,69,BertClassDetailed2Prob,keep,DOUBLE,Classification,Its probability.,the attachment holds no text the classifiers could read (741 attachments),BertClassDetailed2Prob
Contracts,core/Contracts.parquet,70,KwClassDetailed,keep,VARCHAR,Classification,"Contract type from the keyword classifier, an independent second instrument.","no keyword applied, or two categories tied",KwClassDetailed
Contracts,core/Contracts.parquet,71,KwClassDetailedPower,keep,DOUBLE,Classification,Strength of the keyword that decided it: the lower bound of the Wilson interval of its precision in the labelled sample.,as KwClassDetailed,KwClassDetailedPower
Contracts,core/Contracts.parquet,72,KwClassDetailedTerm,keep,VARCHAR,Classification,The keyword that decided it.,as KwClassDetailed,KwClassDetailedTerm
Contracts,core/Contracts.parquet,73,ClassDetailedFlag,keep,VARCHAR,Classification,"confirmed where the keyword classifier agrees with the transformer, contradicted where it disagrees, unchecked where it gave no category.",the attachment holds no text the classifiers could read (741 attachments),ClassDetailedFlag
Contracts,core/Contracts.parquet,74,BertClassBroad,keep,VARCHAR,Classification,"Broad contract type, seven categories, from an additional classifier trained on the broad labels directly (256-token model). Identical to ClassBroad. The paper uses ClassRollup.",the attachment holds no text the classifiers could read (741 attachments),BertClassBroad
Contracts,core/Contracts.parquet,75,BertClassBroadProb,keep,DOUBLE,Classification,That classifier's probability for its category.,the attachment holds no text the classifiers could read (741 attachments),BertClassBroadProb
Contracts,core/Contracts.parquet,76,BertClassBroad2,keep,VARCHAR,Classification,Its second most likely broad category.,the attachment holds no text the classifiers could read (741 attachments),BertClassBroad2
Contracts,core/Contracts.parquet,77,BertClassBroad2Prob,keep,DOUBLE,Classification,Its probability.,the attachment holds no text the classifiers could read (741 attachments),BertClassBroad2Prob
Contracts,core/Contracts.parquet,78,KwClassBroad,keep,VARCHAR,Classification,Broad contract type from the keyword classifier.,"no keyword applied, or two categories tied",KwClassBroad
Contracts,core/Contracts.parquet,79,KwClassBroadPower,keep,DOUBLE,Classification,Strength of the deciding keyword (Wilson lower bound of its precision).,as KwClassBroad,KwClassBroadPower
Contracts,core/Contracts.parquet,80,KwClassBroadTerm,keep,VARCHAR,Classification,The deciding keyword.,as KwClassBroad,KwClassBroadTerm
Contracts,core/Contracts.parquet,81,ClassBroadFlag,keep,VARCHAR,Classification,"confirmed, contradicted or unchecked, as ClassDetailedFlag, for the broad categories.",the attachment holds no text the classifiers could read (741 attachments),ClassBroadFlag
Contracts,core/Contracts.parquet,82,BertAmendType,keep,VARCHAR,Classification,"Original or Amended, from the fine-tuned classifier (256-token model). Identical to AmendType.",the attachment holds no text the classifiers could read (741 attachments),BertAmendType
Contracts,core/Contracts.parquet,83,BertAmendTypeProb,keep,DOUBLE,Classification,The classifier's probability for that call.,the attachment holds no text the classifiers could read (741 attachments),BertAmendTypeProb
Contracts,core/Contracts.parquet,84,BertAmendType2,keep,VARCHAR,Classification,The other of the two categories.,the attachment holds no text the classifiers could read (741 attachments),BertAmendType2
Contracts,core/Contracts.parquet,85,BertAmendType2Prob,keep,DOUBLE,Classification,Its probability: one minus BertAmendTypeProb.,the attachment holds no text the classifiers could read (741 attachments),BertAmendType2Prob
Contracts,core/Contracts.parquet,86,KwAmendType,keep,VARCHAR,Classification,"Original or Amended from the keyword classifier: Amended where an amendment term applies, Original otherwise.",the attachment holds no text the classifiers could read (741 attachments),KwAmendType
Contracts,core/Contracts.parquet,87,KwAmendTypePower,keep,DOUBLE,Classification,Strength of the deciding term (Wilson lower bound of its precision); 0 where no amendment term applies.,the attachment holds no text the classifiers could read (741 attachments),KwAmendTypePower
Contracts,core/Contracts.parquet,88,KwAmendTypeTerm,keep,VARCHAR,Classification,The deciding term.,no amendment term applies,KwAmendTypeTerm
Contracts,core/Contracts.parquet,89,AmendTypeFlag,keep,VARCHAR,Classification,"confirmed or contradicted, as ClassDetailedFlag, for original against amendment.",the attachment holds no text the classifiers could read (741 attachments),AmendTypeFlag
Contracts,core/Contracts.parquet,90,HierConsistent,keep,BOOLEAN,Classification,TRUE where ClassRollup equals ClassBroad: the two classifiers agree on the broad category.,the attachment holds no text the classifiers could read (741 attachments),HierConsistent
Contracts,core/Contracts.parquet,91,Class,keep,VARCHAR,Classification,"Contract type, twelve categories: the label the paper uses.",the attachment holds no text the classifiers could read (741 attachments),Class
Contracts,core/Contracts.parquet,92,ClassRollup,add,VARCHAR,Classification,"Broad contract type, seven categories: the broad category of Class, as the paper uses it. The part of Class before the colon; Customer / Supplier and R&D roll up to Purchases and Sales; Leases, Licenses and Other stand alone.",the attachment holds no text the classifiers could read (741 attachments),ClassRollup
Contracts,core/Contracts.parquet,93,ClassBroad,keep,VARCHAR,Classification,"Broad contract type from the additional broad classifier (see BertClassBroad). Where it differs from ClassRollup, HierConsistent is FALSE.",the attachment holds no text the classifiers could read (741 attachments),ClassBroad
Contracts,core/Contracts.parquet,94,AmendType,keep,VARCHAR,Classification,Original or Amended: the label the paper uses.,the attachment holds no text the classifiers could read (741 attachments),AmendType
Contracts,core/Contracts.parquet,95,nUniSpellingsNaive,keep,INTEGER,Parties,"Distinct organisation names found in the contract, before the spellings of one party were merged.",never,nUniSpellingsNaive
Contracts,core/Contracts.parquet,96,nUniRegistrant,keep,INTEGER,Parties,"Parties identified as the registrant: 1 where the registrant was found, 0 otherwise.",never,nUniRegistrant
Contracts,core/Contracts.parquet,97,nUniCofiler,keep,INTEGER,Parties,Parties identified as another registrant of the same filing.,never,nUniCofiler
Contracts,core/Contracts.parquet,98,nUniCounterparty,keep,INTEGER,Parties,Distinct counterparties: parties named near the registrant that are not the registrant.,never,nUniCounterparty
Contracts,core/Contracts.parquet,99,nUniSignatory,keep,INTEGER,Parties,"Distinct parties that appear only in the last tenth of the contract, typically its signature pages.",never,nUniSignatory
Contracts,core/Contracts.parquet,100,nUniOther,keep,INTEGER,Parties,Distinct parties named elsewhere in the contract.,never,nUniOther
Contracts,core/Contracts.parquet,101,HasNoParty,keep,INTEGER,Parties,1 where no organisation was found in the contract; every party count is 0 then.,never,HasNoParty
Contracts,core/Contracts.parquet,102,nUniStateNaive,keep,INTEGER,Geography,"Distinct US states named anywhere outside governing-law clauses, attached to a party or not.",never,nUniStateNaive
Contracts,core/Contracts.parquet,103,nUniCountryNaive,keep,INTEGER,Geography,"Distinct countries, on the same basis. See the known issue on Columbia.",never,nUniCountryNaive
Contracts,core/Contracts.parquet,104,nUniStateRegistrant,keep,INTEGER,Geography,"Distinct US states near the registrant's mentions. Above 1 means several candidate places, not several registrants.",never,nUniStateRegistrant
Contracts,core/Contracts.parquet,105,nUniCountryRegistrant,keep,INTEGER,Geography,Distinct countries near the registrant's mentions.,never,nUniCountryRegistrant
Contracts,core/Contracts.parquet,106,nUniStateCounterparty,keep,INTEGER,Geography,Distinct US states near any counterparty's mentions.,never,nUniStateCounterparty
Contracts,core/Contracts.parquet,107,nUniCountryCounterparty,keep,INTEGER,Geography,Distinct countries near any counterparty's mentions.,never,nUniCountryCounterparty
Contracts,core/Contracts.parquet,108,LawJurisdiction,keep,VARCHAR,Law,"Every jurisdiction the contract's law clauses name, separated by |, in document order. None is picked as the governing one.",no law clause names a place,LawJurisdiction
Contracts,core/Contracts.parquet,109,LawJurisdictionLevel,keep,VARCHAR,Law,"State or Country for each jurisdiction, in the same order.",as LawJurisdiction,LawJurisdictionLevel
Contracts,core/Contracts.parquet,110,LawKind,keep,VARCHAR,Law,"The wording that identified each clause, in the same order: GovernedBy, GovernedByConstrued, ConstruedAccordance, GoverningLaw, LawsOfState, LawsOfCommonwealth or SubmitJurisdiction. LawsOfState also matches 'organized under the laws of', which states incorporation rather than governing law.",as LawJurisdiction,LawKind
Contracts,core/Contracts.parquet,111,nLawClause,keep,INTEGER,Law,"Law clauses found, whether or not they name a place.",never,nLawClause
Contracts,core/Contracts.parquet,112,nLawSelfRef,keep,INTEGER,Law,"Law clauses that name no place by design, such as 'the laws of the state in which the premises are located'.",never,nLawSelfRef
Contracts,core/Contracts.parquet,113,nUniJurisdiction,keep,INTEGER,Law,Distinct jurisdictions named.,never,nUniJurisdiction
Contracts,core/Contracts.parquet,114,DateStart,keep,DATE,Dates,"Start of the contract: the latest date in the text on or before the filing date, or the filing date where there is none.",the attachment holds no readable text,DateStart
Contracts,core/Contracts.parquet,115,StartSource,keep,VARCHAR,Dates,"signed where DateStart is a date from the text, filed where it is the filing date.",as DateStart,StartSource
Contracts,core/Contracts.parquet,116,DateEnd,keep,DATE,Dates,"End of the contract, from the first rule that applies: a stated term, an open-ended clause, a date next to an end cue (expires, through, maturity), or the latest future date.",no rule applies,DateEnd
Contracts,core/Contracts.parquet,117,DurationYears,keep,DOUBLE,Dates,DateEnd minus DateStart in years. A duration above 30 years is left missing rather than capped; DurationDropped says so.,"no end, or longer than 30 years (see DurationDropped)",DurationYears
Contracts,core/Contracts.parquet,118,DurationSource,keep,VARCHAR,Dates,"Which rule set DateEnd: term, open, cue, maxdate, or none.",as DateStart,DurationSource
Contracts,core/Contracts.parquet,119,DurationDropped,keep,VARCHAR,Dates,"kept, capped (longer than 30 years) or no end: why DurationYears is present or missing.",as DateStart,DurationDropped
Contracts,core/Contracts.parquet,120,TermYears,keep,DOUBLE,Dates,"The longest term the contract states, in years. Not capped.",the contract states no term,TermYears
Contracts,core/Contracts.parquet,121,TermKind,keep,VARCHAR,Dates,"The phrasing of that term: UnitPeriod, PeriodOf, Anniversary, ContinueFor or UnitTerm (see term_spans).",the contract states no term,TermKind
Contracts,core/Contracts.parquet,122,DateEndNaive,keep,DATE,Dates,"The latest future date the contract mentions, whatever it is mentioned for.",the contract names no future date,DateEndNaive
Contracts,core/Contracts.parquet,123,NaiveYears,keep,DOUBLE,Dates,DateEndNaive minus DateStart in years. Not capped.,as DateEndNaive,NaiveYears
Contracts,core/Contracts.parquet,124,nUniAmountNaive,drop,INTEGER,Money,Amounts: not published.,never,nUniAmountNaive
Contracts,core/Contracts.parquet,125,nUniAmountUSD,drop,INTEGER,Money,Amounts: not published.,never,nUniAmountUSD
Contracts,core/Contracts.parquet,126,nUniAmountOther,drop,INTEGER,Money,Amounts: not published.,never,nUniAmountOther
Contracts,core/Contracts.parquet,127,MoneyMaxUSD,drop,DOUBLE,Money,Amounts: not published.,never,MoneyMaxUSD
Contracts,core/Contracts.parquet,128,MoneyMedUSD,drop,DOUBLE,Money,Amounts: not published.,never,MoneyMedUSD
Contracts,core/Contracts.parquet,129,MoneyMaxOther,drop,DOUBLE,Money,Amounts: not published.,never,MoneyMaxOther
Contracts,core/Contracts.parquet,130,MoneyMedOther,drop,DOUBLE,Money,Amounts: not published.,never,MoneyMedOther
Contracts,core/Contracts.parquet,131,nRedactExplicit,keep,INTEGER,Redactions,"Bracketed markers that name confidential treatment, such as [Confidential Treatment Requested].",never,nRedactExplicit
Contracts,core/Contracts.parquet,132,nRedactSymbol,keep,INTEGER,Redactions,"Bracketed markers holding a symbol, such as [*] or [ ].",never,nRedactSymbol
Contracts,core/Contracts.parquet,133,nRedactBlank,keep,INTEGER,Redactions,Empty brackets.,never,nRedactBlank
Contracts,core/Contracts.parquet,134,nOmitExplicit,keep,INTEGER,Redactions,"[Intentionally Omitted] and its variants: sections left out on purpose, not text withheld from a reader.",never,nOmitExplicit
Contracts,core/Contracts.parquet,135,nOmitSymbol,keep,INTEGER,Redactions,"The same kind of omission in symbol form, such as [.].",never,nOmitSymbol
Contracts,core/Contracts.parquet,136,nRedactBare,keep,INTEGER,Redactions,"Runs of asterisks without brackets. The least reliable marker, since a row of asterisks can also be a separator line.",never,nRedactBare
Contracts,core/Contracts.parquet,137,nRedactMoney,drop,INTEGER,Redactions,Redactions matched to a withheld amount: not published with the amounts.,never,nRedactMoney
Summaries,core/Summaries.parquet,1,HashIndex,keep,VARCHAR,Identification,The 8-K filing. Joins to Contracts where the filing carried a contract.,never,HashIndex
Summaries,core/Summaries.parquet,2,DocID,keep,VARCHAR,Identification,The 8-K document the Item 1.01 text was read from; its text is in text/8k or text/8ka.,never,DocID
Summaries,core/Summaries.parquet,3,CIK,keep,VARCHAR,Identification,The filer's Central Index Key on EDGAR.,never,CIK
Summaries,core/Summaries.parquet,4,DateFiled,keep,DATE,Identification,The day EDGAR accepted the filing.,never,DateFiled
Summaries,core/Summaries.parquet,5,FormType,keep,VARCHAR,Identification,8-K or 8-K/A.,never,FormType
Summaries,core/Summaries.parquet,6,SumAttached,keep,INTEGER,Announcement,1 where the filing carried an Exhibit 10; 0 where the agreement was announced without the contract.,never,SumAttached
Summaries,core/Summaries.parquet,7,SumDates,keep,INTEGER,Announcement,Distinct agreement dates at the start of the Item 1.01 text: a proxy for the number of agreements announced.,the Item 1.01 text could not be recovered,SumDates
Summaries,core/Summaries.parquet,8,SumDateFirst,keep,DATE,Announcement,The first of those dates: the agreement date.,the text names no agreement date,SumDateFirst
Summaries,core/Summaries.parquet,9,SumIsSingle,keep,INTEGER,Announcement,1 where the text names exactly one agreement date.,the Item 1.01 text could not be recovered,SumIsSingle
Summaries,core/Summaries.parquet,10,SumLagDays,keep,INTEGER,Announcement,"DateFiled minus SumDateFirst, in calendar days; negative where the filing precedes the date. Item 1.01 allows four business days.",as SumDateFirst,SumLagDays
Summaries,core/Summaries.parquet,11,SumWords,keep,INTEGER,Announcement,"Words in the Item 1.01 text, without its heading and title.",never,SumWords
Summaries,core/Summaries.parquet,12,SumSentences,keep,INTEGER,Announcement,Sentences in that text.,never,SumSentences
Summaries,core/Summaries.parquet,13,SumComplex,keep,INTEGER,Announcement,Words of three or more syllables in that text.,never,SumComplex
Summaries,core/Summaries.parquet,14,SumFog,keep,DOUBLE,Announcement,Gunning Fog index: 0.4 x (words per sentence + 100 x share of complex words).,never,SumFog
Summaries,core/Summaries.parquet,15,SumUncertain,keep,INTEGER,Announcement,Words of the Loughran-McDonald uncertainty list.,never,SumUncertain
Summaries,core/Summaries.parquet,16,SumNumbers,keep,INTEGER,Announcement,Numeric tokens.,never,SumNumbers
Summaries,core/Summaries.parquet,17,SumDollars,keep,INTEGER,Announcement,"Dollar figures: a currency sign, a number and an optional scale word.",never,SumDollars
Summaries,core/Summaries.parquet,18,SumPercents,keep,INTEGER,Announcement,Percentages.,never,SumPercents
Summaries,core/Summaries.parquet,19,SumBoiler,keep,DOUBLE,Announcement,Share of the text's four-word phrases that occur in the filings of at least one in a hundred distinct filers (after Lang and Stice-Lawrence 2015).,never,SumBoiler
Places,core/Places.parquet,1,DocID,keep,VARCHAR,Place,The contract (its primary copy). Joins to Contracts on DocID.,never,DocID
Places,core/Places.parquet,2,HashDocument,keep,VARCHAR,Place,The attachment; joins to every registrant copy in Contracts.,never,HashDocument
Places,core/Places.parquet,3,GeoLevel,keep,VARCHAR,Place,"What the place name resolved to: Country, State, County or City.",never,GeoLevel
Places,core/Places.parquet,4,GeoState,keep,VARCHAR,Place,"The US state, where the place gives one.",the place is outside the US or names no state,GeoState
Places,core/Places.parquet,5,GeoCountryIso,keep,VARCHAR,Place,ISO 3166 alpha-3 country code; USA for US places. Count countries on this column.,the place resolved to no country,GeoCountryIso
Places,core/Places.parquet,6,GeoCountry,keep,VARCHAR,Place,"The country's name as found in the text. One country can appear under several spellings, including other languages.",as GeoCountryIso,GeoCountry
Places,core/Places.parquet,7,PartyRole,keep,VARCHAR,Place,"The party the place was attached to: registrant, cofiler, counterparty, signatory, other, or none.",never,PartyRole
Places,core/Places.parquet,8,InLawClause,keep,INTEGER,Place,"1 where the place sits in a governing-law clause, so it is a jurisdiction rather than a location.",never,InLawClause
Places,core/Places.parquet,9,nMentions,keep,INTEGER,Place,How often the contract mentions this place in this role.,never,nMentions
TermDocs,core/TermDocs.parquet,1,DocID,keep,VARCHAR,Term,The contract (its primary copy). Joins to Contracts on DocID.,never,DocID
TermDocs,core/TermDocs.parquet,2,HashDocument,keep,VARCHAR,Term,The attachment; joins to every registrant copy in Contracts.,never,HashDocument
